[I 230512 12:47:42 main:247] Iteration 476 started
[I 230512 12:47:42 main:247] Iteration 477 started
[I 230512 12:47:42 main:247] Iteration 478 started
[I 230512 12:47:42 main:247] Iteration 479 started
[I 230512 12:47:42 main:247] Iteration 480 started
[I 230512 12:47:48 main:159] Humans detected: 0
[I 230512 12:47:48 main:247] Iteration 481 started
[I 230512 12:47:48 main:247] Iteration 482 started
[I 230512 12:47:48 main:247] Iteration 483 started
[I 230512 12:47:48 main:247] Iteration 484 started
[I 230512 12:47:49 main:247] Iteration 485 started
[I 230512 12:47:49 main:247] Iteration 486 started
[I 230512 12:47:49 main:247] Iteration 487 started
[I 230512 12:47:49 main:247] Iteration 488 started
[I 230512 12:47:49 main:247] Iteration 489 started
[I 230512 12:47:49 main:247] Iteration 490 started
[I 230512 12:47:49 main:150] Motion detected
[I 230512 12:47:49 main:247] Iteration 491 started
[I 230512 12:47:49 main:150] Motion detected
[I 230512 12:47:49 main:247] Iteration 492 started
[I 230512 12:47:49 main:247] Iteration 493 started
[I 230512 12:47:49 main:247] Iteration 494 started
[I 230512 12:47:50 main:247] Iteration 495 started
[I 230512 12:47:50 main:247] Iteration 496 started
[I 230512 12:47:50 main:247] Iteration 497 started
[I 230512 12:47:50 main:247] Iteration 498 started
[I 230512 12:47:50 main:247] Iteration 499 started
[I 230512 12:47:50 main:150] Motion detected
[I 230512 12:47:50 main:247] Iteration 500 started
[I 230512 12:47:50 main:247] Iteration 501 started
[I 230512 12:47:50 main:247] Iteration 502 started
[I 230512 12:47:51 main:150] Motion detected
[I 230512 12:47:51 main:247] Iteration 503 started
[I 230512 12:47:51 main:150] Motion detected
[I 230512 12:47:51 main:247] Iteration 504 started
[I 230512 12:47:51 main:247] Iteration 505 started
[I 230512 12:47:51 main:150] Motion detected
[I 230512 12:47:51 main:247] Iteration 506 started
[I 230512 12:47:51 main:150] Motion detected
[I 230512 12:47:51 main:247] Iteration 507 started
[I 230512 12:47:51 main:150] Motion detected
[I 230512 12:47:51 main:247] Iteration 508 started
[I 230512 12:47:51 main:150] Motion detected
[I 230512 12:47:51 main:247] Iteration 509 started
[I 230512 12:47:51 main:247] Iteration 510 started
[I 230512 12:47:52 main:247] Iteration 511 started
[I 230512 12:47:52 main:247] Iteration 512 started
[I 230512 12:47:52 main:247] Iteration 513 started
[I 230512 12:47:52 main:247] Iteration 514 started
[I 230512 12:47:52 main:247] Iteration 515 started
[I 230512 12:47:52 main:247] Iteration 516 started
[I 230512 12:47:52 main:247] Iteration 517 started
[I 230512 12:47:52 main:247] Iteration 518 started
[I 230512 12:47:52 main:247] Iteration 519 started
[I 230512 12:47:53 main:247] Iteration 520 started
[I 230512 12:47:53 main:247] Iteration 521 started
[I 230512 12:47:53 main:247] Iteration 522 started
[I 230512 12:47:53 main:247] Iteration 523 started
[I 230512 12:47:53 main:150] Motion detected
[I 230512 12:47:53 main:247] Iteration 524 started
[I 230512 12:47:53 main:150] Motion detected
